"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.723933750E-1,-1.541793823E0,3.400328979E0,8.277337189E0,9.080400668E0
6.824523750E-1,-9.939331055E-1,4.228257294E0,7.814948730E0,8.940888458E0
6.925113750E-1,-8.668473816E-1,4.996010742E0,7.144343262E0,8.760889701E0
7.025693750E-1,-1.405876465E0,4.954097900E0,6.524332581E0,8.311828335E0
7.126283750E-1,-2.349364471E0,4.169429626E0,6.366111603E0,7.964360223E0
7.226873750E-1,-2.597398682E0,3.675456848E0,6.091732178E0,7.573946387E0
7.327463750E-1,-2.436932373E0,2.609224091E0,5.839955750E0,6.844835491E0
7.428053750E-1,-1.756597137E0,2.299368439E0,5.651497650E0,6.349185334E0
7.528643750E-1,-8.619076538E-1,2.750979309E0,5.885311432E0,6.553446621E0
7.629233750E-1,-2.715353394E-1,3.024161224E0,6.758745117E0,7.409447895E0
7.729823750E-1,-7.364685059E-2,2.792592773E0,7.209757233E0,7.732050026E0
7.830413750E-1,2.558180237E-1,2.599943390E0,7.500153351E0,7.942131249E0
7.930993750E-1,8.873547363E-1,2.587070160E0,8.319549408E0,8.757581446E0
8.031583750E-1,1.378034363E0,2.481090546E0,9.521250458E0,9.935240273E0
8.132173750E-1,1.608255615E0,2.264041901E0,9.843530273E0,1.022777884E1
8.232763750E-1,1.424886932E0,2.168839874E0,9.497599640E0,9.845738575E0
8.333353750E-1,9.566606140E-1,2.277663574E0,8.972641296E0,9.306516143E0
8.433943750E-1,-1.362167358E-2,1.889071655E0,8.462352448E0,8.670650853E0
8.534533750E-1,-1.172811127E0,-3.001258850E-1,1.047132477E1,1.054107224E1
8.635123750E-1,-1.542691956E0,-2.035018158E0,5.679339752E0,6.227045639E0
8.735713750E-1,-1.647174683E0,-1.355131989E0,2.288890228E0,3.128671542E0
8.836303750E-1,-1.606609039E0,4.252656555E-1,1.706002350E0,2.381698449E0
8.936883750E-1,-8.174501038E-1,1.711391144E0,2.341730347E0,3.013434143E0
9.037473750E-1,1.028511200E0,2.511627045E0,3.416794739E0,4.363552680E0
9.138063750E-1,2.477198639E0,2.861299896E0,5.489833832E0,6.667970133E0
9.238653750E-1,1.585353241E0,2.523602142E0,8.248596954E0,8.770476862E0
9.339243750E-1,1.218017120E0,1.862876129E0,9.542805634E0,9.798929153E0
9.439833750E-1,2.745889893E0,1.630559235E0,9.522148590E0,1.004340323E1
9.540423750E-1,3.208128662E0,1.562450867E0,1.043315414E1,1.102651566E1
9.641013750E-1,3.003653870E0,1.539847870E0,1.053913376E1,1.106645419E1
9.741603750E-1,3.603905640E0,1.815873871E0,9.185199280E0,1.003261778E1
9.842183750E-1,3.633993073E0,2.167342987E0,6.838678894E0,8.041816355E0
9.942773750E-1,2.434537354E0,2.298619995E0,5.805677032E0,6.701978201E0
1.004336375E0,1.974094849E0,1.347048798E0,7.737110596E0,8.097806574E0
1.014395375E0,2.514620819E0,6.228547668E-1,1.082129700E1,1.112707215E1
1.024454375E0,2.235900421E0,8.562194824E-1,1.392164978E1,1.412602899E1
1.034513375E0,2.468516693E0,6.111790466E-1,1.542751831E1,1.563571027E1
1.044572375E0,3.680995331E0,8.577163696E-2,1.587628510E1,1.629765357E1
1.054631375E0,4.734803925E0,4.225712585E-1,1.482861374E1,1.557192089E1
1.064690375E0,5.281766510E0,9.339079285E-1,1.296693512E1,1.403248545E1
1.074749375E0,5.057981873E0,1.425485687E0,1.166464325E1,1.279371300E1
1.084807375E0,5.202581177E0,2.213297424E0,1.023646317E1,1.169404611E1
1.094866375E0,6.337221680E0,3.235372009E0,9.621841278E0,1.196694782E1
1.104925375E0,7.087012482E0,3.705843658E0,9.435029755E0,1.236846028E1
1.114984375E0,6.867419128E0,3.219055939E0,9.158105621E0,1.189094888E1
1.125043375E0,5.875282288E0,2.375709686E0,8.350385284E0,1.048293246E1
1.135102375E0,6.198759613E0,2.456990662E0,9.269024963E0,1.141824188E1
1.145161375E0,8.581055603E0,3.270249481E0,1.149384842E1,1.471181832E1
1.155220375E0,9.980944519E0,3.951782227E0,1.284164566E1,1.673749382E1
1.165279375E0,1.103460342E1,4.614753571E0,1.385833145E1,1.830605839E1
1.175338375E0,1.152124146E1,4.768483887E0,1.366268829E1,1.849720235E1
1.185396375E0,1.106109833E1,4.405339050E0,1.273057663E1,1.743050457E1
1.195455375E0,1.042507095E1,4.072131958E0,1.094119766E1,1.565165069E1
1.205514375E0,9.394763489E0,3.842659149E0,9.070986786E0,1.361287668E1
1.215573375E0,8.191116486E0,3.520379333E0,7.655081177E0,1.175107347E1
1.225632375E0,7.333998871E0,2.995570679E0,6.708599396E0,1.038105433E1
1.235691375E0,6.953490143E0,2.633024597E0,6.419251099E0,9.822964337E0
1.245750375E0,6.795867920E0,2.351310425E0,6.994804230E0,1.003193739E1
1.255809375E0,6.634353790E0,2.182012482E0,7.388934631E0,1.016721120E1
1.265868375E0,6.440656586E0,2.084864502E0,7.323969727E0,9.973427184E0
1.275926375E0,6.414011993E0,1.956880646E0,7.198231201E0,9.837858717E0
1.285985375E0,6.218817902E0,1.835183716E0,6.862928467E0,9.441471416E0
1.296044375E0,5.094505920E0,9.645941162E-1,6.656507721E0,8.437625698E0
1.306103375E0,3.924688568E0,-2.677931213E-1,6.697223053E0,7.767090197E0
1.316162375E0,4.161047058E0,1.395098877E-1,6.969357147E0,8.118233470E0
1.326221375E0,4.517306213E0,8.482859802E-1,6.706054688E0,8.129994711E0
1.336280375E0,4.780309296E0,1.244212646E0,6.581813049E0,8.229197111E0
1.346339375E0,4.964426422E0,1.093326416E0,6.469097443E0,8.227400201E0
1.356398375E0,4.696333923E0,5.257067871E-1,5.757477264E0,7.448520954E0
1.366457375E0,4.577630768E0,1.317260742E-2,5.294789429E0,6.999262251E0
1.376515375E0,4.585115204E0,-2.426454163E-1,4.691394196E0,6.564399266E0
1.386574375E0,4.396806793E0,-3.906875610E-1,3.942950592E0,5.918733489E0
1.396633375E0,4.903952179E0,-5.779481506E-1,3.657494202E0,6.144919436E0
1.406692375E0,5.947132874E0,-6.150709534E-1,3.319946136E0,6.838767728E0
1.416751375E0,6.068829803E0,-8.159532166E-1,2.624791718E0,6.662282371E0
1.426810375E0,5.552852783E0,-1.106049957E0,2.029030609E0,6.014522903E0
1.436869375E0,4.854704590E0,-1.388213196E0,2.206262054E0,5.510252697E0
1.446928375E0,4.243974609E0,-1.961371307E0,1.950743408E0,5.065935031E0
1.456987375E0,3.851191406E0,-2.648292847E0,1.549278259E0,4.923961147E0
1.467045375E0,3.881278839E0,-3.143163757E0,1.336570587E0,5.170128119E0
1.477104375E0,4.111649780E0,-3.439397736E0,1.072669373E0,5.466785187E0
1.487164250E0,4.004622345E0,-4.352947998E0,9.132508850E-1,5.984912997E0
1.497223250E0,5.468578033E0,-4.267625427E0,4.463717651E-1,6.951058930E0
1.507282250E0,8.091573486E0,-2.810854797E0,-1.008901978E-1,8.566483818E0
1.517341250E0,9.536219330E0,-1.921703796E0,2.290237427E-1,9.730615421E0
1.527400250E0,9.849667511E0,-2.415227509E0,4.330494690E-1,1.015070470E1
1.537459250E0,9.448950806E0,-3.522774353E0,3.326083374E-1,1.008975910E1
1.547518250E0,8.655750275E0,-4.466412048E0,4.960684204E-1,9.752791051E0
1.557576250E0,7.899073792E0,-5.104834442E0,4.743635559E-1,9.416991145E0
1.567635250E0,7.752229156E0,-5.632786560E0,3.318598938E-1,9.588298718E0
1.577694250E0,8.332123260E0,-6.247258759E0,4.906796265E-1,1.042560725E1
1.587753250E0,9.578431549E0,-6.826703796E0,4.842430115E-1,1.177220145E1
1.597812250E0,1.115555191E1,-7.054380341E0,2.872526550E-1,1.320201252E1
1.607871250E0,1.284104691E1,-6.946305084E0,4.041595459E-2,1.459949566E1
1.617930250E0,1.409468994E1,-6.774163055E0,1.438508606E-1,1.563874236E1
1.627989250E0,1.439526489E1,-6.812633057E0,5.289999390E-1,1.593472502E1
1.638048250E0,1.427132263E1,-7.094047852E0,8.604107666E-1,1.596046589E1
1.648107250E0,1.425395874E1,-7.670050049E0,1.197360077E0,1.623079415E1
1.658165250E0,1.399110535E1,-8.326435089E0,1.696272583E0,1.636941938E1
1.668224250E0,1.360760284E1,-8.690178680E0,2.281705170E0,1.630620247E1
1.678283250E0,1.335388046E1,-8.123457184E0,3.002456360E0,1.591638854E1
1.688342250E0,1.381267639E1,-6.948999481E0,3.367996216E0,1.582472816E1
1.698401250E0,1.467518280E1,-6.019881592E0,3.206332397E0,1.618272326E1
1.708460250E0,1.518951324E1,-5.359005890E0,2.819536743E0,1.635206544E1
1.718519250E0,1.516316803E1,-4.569996643E0,2.521656189E0,1.603637378E1
1.728578250E0,1.471829315E1,-3.745511169E0,2.205663300E0,1.534672466E1
1.738637250E0,1.415396667E1,-3.235821075E0,1.953886871E0,1.465001654E1
1.748695250E0,1.353650070E1,-3.018023987E0,1.672322388E0,1.396932290E1
1.758754250E0,1.313219147E1,-3.004102936E0,1.273701324E0,1.353149667E1
1.768813250E0,1.292457321E1,-3.286864929E0,9.243278503E-1,1.336796378E1
1.778872250E0,1.256681717E1,-3.579207001E0,8.193960571E-1,1.309225062E1
1.788931250E0,1.229558121E1,-3.873045959E0,6.646179199E-1,1.290827329E1
1.798990250E0,1.214170120E1,-4.323159943E0,5.610333252E-1,1.290059605E1
1.809049250E0,1.193543015E1,-4.700375519E0,7.469467163E-1,1.284935610E1
1.819108250E0,1.166763702E1,-4.868026886E0,9.407936096E-1,1.267740242E1
1.829167250E0,1.116213821E1,-4.932542725E0,1.126108246E0,1.225526120E1
1.839226250E0,1.065050217E1,-5.036875763E0,1.270258484E0,1.184976246E1
1.849284250E0,1.010279114E1,-5.286406860E0,1.359023895E0,1.148300624E1
1.859343250E0,9.398206329E0,-5.581143951E0,1.443897400E0,1.102543830E1
1.869402250E0,8.658744049E0,-5.783672791E0,1.487456818E0,1.051842418E1
1.879461250E0,7.961493988E0,-5.930218048E0,1.477727051E0,1.003675993E1
1.889520250E0,6.970105591E0,-6.019582214E0,1.453327789E0,9.323620737E0
1.899579250E0,6.092031555E0,-5.866450653E0,1.419647827E0,8.575750211E0
1.909638250E0,5.652844849E0,-5.585035858E0,1.331481171E0,8.057302435E0
1.919697250E0,5.480403442E0,-5.373974762E0,1.306183777E0,7.785919515E0
1.929756250E0,5.463937683E0,-5.305417328E0,1.367556152E0,7.737717871E0
1.939814250E0,5.620961151E0,-5.221441956E0,1.362017670E0,7.791903008E0
1.949873250E0,5.862858124E0,-5.213508453E0,1.249152374E0,7.944441920E0
1.959932250E0,6.045328674E0,-5.352868652E0,1.068029022E0,8.144930177E0
1.969991250E0,6.144871674E0,-5.706583099E0,8.264314270E-1,8.426596434E0
1.980050250E0,6.117927704E0,-6.155798950E0,6.700067139E-1,8.704700403E0
1.990109250E0,6.017636261E0,-6.538403320E0,5.863307190E-1,8.905416771E0
2.000168250E0,5.941295013E0,-6.701264648E0,4.638853455E-1,8.967782554E0
2.010227250E0,6.051316223E0,-6.592890015E0,2.215393066E-1,8.951743207E0
2.020286250E0,6.271059265E0,-6.352938995E0,-5.748046875E-2,8.926887598E0
2.030345250E0,6.586902466E0,-6.243217163E0,-2.884501648E-1,9.080101769E0
2.040403250E0,6.953490143E0,-6.195167084E0,-4.026626587E-1,9.321655302E0
2.050462250E0,7.303761749E0,-6.168672180E0,-3.706292725E-1,9.567383039E0
2.060521250E0,7.516768799E0,-6.108347626E0,-2.615061951E-1,9.689278063E0
2.070580250E0,7.578889618E0,-6.004912720E0,-2.176473999E-1,9.671913720E0
2.080639250E0,7.557933197E0,-5.876779175E0,-2.821632385E-1,9.578021913E0
2.090698250E0,7.567363586E0,-5.778433685E0,-4.481680298E-1,9.531848828E0
2.100757250E0,7.641309814E0,-5.841302948E0,-3.423381042E-1,9.624324973E0
2.110816250E0,7.577991486E0,-5.993985443E0,-3.128494263E-2,9.662028524E0
2.120875250E0,7.446714478E0,-6.044280853E0,2.588117981E-1,9.594470860E0
2.130934250E0,7.539820862E0,-6.120173035E0,3.192860413E-1,9.716345001E0
2.140992250E0,7.816744995E0,-6.070326691E0,1.886077881E-1,9.898784842E0
2.151051250E0,8.121361542E0,-5.797593842E0,-1.848655701E-1,9.980119384E0
2.161110250E0,8.513246613E0,-5.421725464E0,-6.601272583E-1,1.011465486E1
2.171169250E0,9.035061493E0,-5.186414795E0,-1.209035797E0,1.048775487E1
2.181228250E0,9.484277344E0,-5.307363281E0,-1.889221344E0,1.103126371E1
2.191287250E0,9.650431824E0,-5.546266479E0,-2.590962067E0,1.142825405E1
2.201346250E0,9.749076691E0,-5.947581940E0,-3.206033020E0,1.186157135E1
2.211405250E0,9.635762329E0,-6.565946045E0,-3.598516846E0,1.220282290E1
2.221464250E0,9.434730377E0,-7.101681976E0,-3.767665100E0,1.239529445E1
2.231523250E0,9.363029480E0,-7.459288330E0,-3.555107117E0,1.248783768E1
2.241581250E0,9.621392212E0,-7.893086243E0,-3.060385895E0,1.281553590E1
2.251640250E0,1.005040009E1,-8.555009766E0,-2.279010773E0,1.339375317E1
2.261699250E0,1.052596115E1,-9.196425934E0,-1.485361176E0,1.405618746E1
2.271758250E0,1.094194611E1,-9.803862762E0,-8.857081604E-1,1.471823320E1
2.281817250E0,1.126871658E1,-1.031220566E1,-3.893403625E-1,1.527995893E1
2.291876250E0,1.132065857E1,-1.074091415E1,-1.017883301E-2,1.560527638E1
2.301935250E0,1.118683685E1,-1.116752701E1,5.867797852E-2,1.580703708E1
2.311994250E0,1.080662750E1,-1.149295029E1,4.954696655E-2,1.577572690E1
2.322053250E0,9.922116852E0,-1.113354767E1,2.426454163E-1,1.491519907E1
2.332112250E0,8.852740631E0,-9.970017242E0,4.834945679E-1,1.334188995E1
2.342170250E0,8.130193176E0,-8.568481750E0,7.810757446E-1,1.183760955E1
2.352229250E0,7.800728302E0,-7.283104706E0,1.078806610E0,1.072654650E1
2.362288250E0,7.734865265E0,-6.167025604E0,1.497935028E0,1.000520639E1
2.372347250E0,7.833210754E0,-5.360652466E0,2.046095123E0,9.709906840E0
2.382406250E0,8.032296753E0,-4.895868988E0,2.356998596E0,9.697564986E0
2.392465250E0,8.144862671E0,-4.753664703E0,2.530338135E0,9.764155218E0
2.402524250E0,8.228688354E0,-4.903503113E0,2.661166077E0,9.941703058E0
2.412583250E0,8.183182983E0,-5.218897247E0,2.747835846E0,1.008721835E1
2.422642250E0,7.838749237E0,-5.508544922E0,2.727478180E0,9.961385144E0
2.432700250E0,7.365283813E0,-5.717061310E0,2.387086029E0,9.624467538E0
2.442759250E0,6.951993256E0,-5.954018555E0,1.977238312E0,9.364294876E0
2.452818250E0,6.666387177E0,-6.310277710E0,1.603315887E0,9.318312326E0
2.462877250E0,6.470444641E0,-6.747368774E0,1.355581055E0,9.446228836E0
2.472936250E0,6.482569427E0,-7.168592834E0,1.222058716E0,9.741963720E0
2.482995250E0,6.568790131E0,-7.525151367E0,1.078058167E0,1.004684609E1
2.493053750E0,6.702462158E0,-7.763455811E0,8.596623230E-1,1.029238866E1
2.503112750E0,6.902595978E0,-7.998317413E0,5.999523926E-1,1.058200622E1
2.513171750E0,7.211254120E0,-8.246800690E0,4.460723877E-1,1.096407261E1
2.523230750E0,7.603588257E0,-8.533604279E0,3.620970154E-1,1.143538677E1
