"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.590830417E-1,2.040706329E0,-1.435664520E0,-1.215622101E0,2.775491313E0
6.691410417E-1,2.551893311E0,-2.107317810E0,-1.646725616E0,3.696573153E0
6.792000417E-1,2.885699158E0,-3.611689453E0,-2.034120026E0,5.050663779E0
6.892580417E-1,2.327809296E0,-5.771248627E0,-2.259102173E0,6.620388920E0
6.993170417E-1,2.320324860E0,-8.506510620E0,-1.224603424E0,8.901925855E0
7.093750417E-1,3.287613373E0,-9.635313263E0,9.247769165E-1,1.022266480E1
7.194330417E-1,4.368365936E0,-9.452243958E0,2.288441162E0,1.066135544E1
7.294920417E-1,5.220244446E0,-9.347312164E0,2.926414490E0,1.109896835E1
7.395500417E-1,6.060297546E0,-9.404044189E0,3.509601746E0,1.172521036E1
7.496090417E-1,7.372917938E0,-9.712702332E0,3.856580200E0,1.278943769E1
7.596670417E-1,8.748407593E0,-1.043614792E1,4.041595459E0,1.420501012E1
7.697250417E-1,1.003543121E1,-1.101708984E1,4.196972351E0,1.548227132E1
7.797840417E-1,1.186223236E1,-1.154938293E1,4.197571106E0,1.707982453E1
7.898420417E-1,1.405562119E1,-1.196402069E1,3.715423737E0,1.882824080E1
7.999010417E-1,1.603465576E1,-1.238554413E1,3.173550568E0,2.050812795E1
8.099590417E-1,1.976998810E1,-1.355446335E1,3.295097809E0,2.419573466E1
8.200170417E-1,1.998284546E1,-1.148097519E1,3.831432495E0,2.336250798E1
8.300760417E-1,2.024360321E1,-9.678722992E0,3.944746857E0,2.278249717E1
8.401340417E-1,2.361070129E1,-9.818681946E0,3.853436737E0,2.585963467E1
8.501930417E-1,2.597293900E1,-8.377478943E0,3.830534363E0,2.755809694E1
8.602510417E-1,2.745530640E1,-6.832242279E0,3.496728516E0,2.850790231E1
8.703090417E-1,2.672796890E1,-5.875881042E0,2.945424957E0,2.752427706E1
8.803680417E-1,2.443234268E1,-5.140310669E0,2.289039917E0,2.507193384E1
