"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.505356250E-1,3.140020294E0,3.200344849E-1,9.320368195E0,9.840295362E0
6.605936250E-1,3.144960022E0,3.772155762E-1,9.095535736E0,9.631294589E0
6.706506250E-1,3.187621307E0,4.296066284E-1,8.868308258E0,9.433577413E0
6.807086250E-1,3.422033844E0,4.800517273E-1,8.769214325E0,9.425491243E0
6.907666250E-1,3.702999573E0,2.734812927E-1,8.896898804E0,9.640633080E0
7.008236250E-1,3.729195099E0,-6.795867920E-2,8.815917206E0,9.572455832E0
7.108816250E-1,3.622017975E0,-3.323089600E-1,8.324040070E0,9.084001681E0
7.209396250E-1,3.540287933E0,-3.046165466E-1,8.025411072E0,8.776881722E0
7.309966250E-1,3.694916382E0,-6.975494385E-2,8.340505829E0,9.122571474E0
7.410546250E-1,3.971092072E0,5.224136353E-2,8.457712097E0,9.343724917E0
7.511126250E-1,3.891607361E0,-3.095562744E-1,7.744744720E0,8.673033133E0
7.611696250E-1,3.886218567E0,-8.270301819E-1,7.403454437E0,8.402250370E0
7.712276250E-1,4.306694183E0,-1.436263275E0,6.746620331E0,8.131872655E0
7.812846250E-1,5.262905731E0,-2.419418793E0,6.224655762E0,8.502829140E0
7.913426250E-1,6.185437317E0,-3.350332947E0,6.493496704E0,9.573393604E0
8.014006250E-1,6.682553558E0,-4.298760681E0,7.089407501E0,1.064873533E1
8.114576250E-1,6.200705566E0,-5.577551422E0,7.547904053E0,1.124849701E1
8.215156250E-1,3.763024750E0,-6.145320740E0,6.630761261E0,9.792462262E0
8.315736250E-1,4.823120270E0,-4.705614624E0,9.171876984E0,1.138106434E1
8.416306250E-1,7.639363861E0,-3.649261322E0,1.017089951E1,1.323344948E1
8.516886250E-1,8.714877319E0,-4.048032074E0,8.801846466E0,1.303104568E1
8.617456250E-1,8.787326660E0,-4.614304504E0,8.287665710E0,1.293036422E1
8.718036250E-1,1.042507095E1,-3.688479767E0,7.274422760E0,1.323647286E1
8.818616250E-1,1.105780518E1,-2.389181671E0,6.204747162E0,1.290279550E1
8.919186250E-1,1.083297272E1,-1.845362549E0,5.753735046E0,1.240419799E1
9.019766250E-1,1.165341660E1,-8.789721680E-1,4.632566528E0,1.257121247E1
9.120346250E-1,1.060080551E1,-8.572673035E-1,2.629282379E0,1.095559722E1
9.220916250E-1,7.898774414E0,-2.763253784E0,1.623224487E0,8.524146084E0
9.321496250E-1,8.113727417E0,-4.737198944E0,3.606749725E0,1.006390928E1
9.422076250E-1,1.034214340E1,-5.811215515E0,5.147645416E0,1.293168238E1
9.522646250E-1,1.256187744E1,-5.544619904E0,6.435866547E0,1.516456240E1
9.623226250E-1,1.240679993E1,-4.130061493E0,5.516478424E0,1.419216779E1
9.723796250E-1,1.109373047E1,-2.685265961E0,2.760260010E0,1.174310625E1
9.824376250E-1,9.923014984E0,-2.068099365E0,-3.769161987E-1,1.014324047E1
9.924953750E-1,9.738149414E0,-2.165696411E0,-2.860701141E0,1.037812151E1
1.002552375E0,9.386231232E0,-2.273621979E0,-4.064048767E0,1.047793806E1
1.012610375E0,8.561745758E0,-2.139650574E0,-3.716172180E0,9.575569470E0
1.022668375E0,8.538244629E0,-2.081122284E0,-2.334994354E0,9.093123222E0
1.032725375E0,8.505313110E0,-2.068099365E0,-1.221909027E0,8.838011527E0
1.042783375E0,8.491541748E0,-2.918031921E0,5.710624695E-1,8.997071962E0
1.052841375E0,1.033645523E1,-3.460952911E0,2.500400391E0,1.118358189E1
1.062898375E0,1.103819595E1,-2.320175171E0,3.166365509E0,1.171541093E1
1.072956375E0,1.076276871E1,-1.300345917E0,2.682272186E0,1.116793060E1
1.083013375E0,1.091455307E1,-8.416996765E-1,6.987469482E-1,1.096923764E1
1.093071375E0,1.059137512E1,-2.106120300E-1,-2.082469482E0,1.079621524E1
1.103129375E0,1.034498749E1,1.911524963E-1,-6.043831787E0,1.198262109E1
1.113186375E0,9.419462128E0,-5.752537537E-1,-1.069540878E1,1.426355330E1
1.123244375E0,6.509064331E0,-1.665287018E0,-1.176104279E1,1.354485979E1
1.133302375E0,5.998925171E0,-1.240769806E0,-7.168892212E0,9.429720487E0
1.143359375E0,6.330335999E0,-1.548829193E0,-5.286406860E0,8.391550704E0
1.153417375E0,6.000871124E0,-1.814676361E0,-4.497996368E0,7.715923527E0
1.163474375E0,6.482868805E0,-1.497935028E0,-2.669249268E0,7.169120514E0
1.173532375E0,6.723717957E0,-2.566562805E0,5.547463989E-1,7.218266507E0
1.183590375E0,6.314618683E0,-3.482358398E0,3.111429749E0,7.853803168E0
1.193647375E0,3.131937103E0,-5.251978455E0,6.391708374E-1,6.148239347E0
1.203705375E0,1.652862854E0,-6.045478363E0,-2.972817993E0,6.936671469E0
1.213763375E0,2.169438629E0,-3.359613647E0,-5.280868378E0,6.624276462E0
1.223820375E0,3.320844269E0,-1.516496429E0,-5.774841156E0,6.832024477E0
1.233878375E0,4.056863708E0,-1.727557526E0,-5.844745789E0,7.321451460E0
1.243936375E0,5.250331879E0,-2.315235443E0,-5.885012054E0,8.219468771E0
1.253993375E0,4.681814117E0,-2.515219574E0,-5.466632080E0,7.624288769E0
1.264051375E0,4.099674683E0,-3.622616730E0,-4.746479645E0,7.242910568E0
1.274108375E0,4.488266602E0,-5.462291107E0,-4.606670380E0,8.438161720E0
1.284166375E0,4.896318054E0,-6.166426849E0,-4.863985291E0,9.255112289E0
1.294224375E0,5.857169952E0,-4.936434631E0,-5.207520905E0,9.262456515E0
1.304281375E0,7.634723511E0,-4.049379272E0,-3.236419830E0,9.228265758E0
1.314339375E0,9.713001709E0,-4.823719025E0,-5.604345703E-1,1.085931648E1
1.324397375E0,8.668623505E0,-4.428391113E0,7.316784668E-1,9.761712693E0
1.334454375E0,1.000953506E1,-5.440137177E0,-3.628454590E-1,1.139813763E1
1.344512375E0,1.197659454E1,-7.858358459E0,-1.291813660E0,1.438267698E1
1.354570375E0,1.450363953E1,-7.041806488E0,-4.021986237E0,1.661682796E1
1.364627375E0,1.230336502E1,-5.246889038E0,-5.419629822E0,1.443173665E1
1.374685375E0,1.143861328E1,-6.670728149E0,-5.810916138E0,1.446054059E1
1.384742375E0,1.218600906E1,-7.609126740E0,-4.642445984E0,1.509801084E1
1.394800375E0,1.163859741E1,-7.577841797E0,-4.186194763E0,1.450533911E1
1.404858375E0,1.045306274E1,-7.545359344E0,-3.903732147E0,1.346989581E1
1.414915375E0,1.031190628E1,-7.979456635E0,-3.175047455E0,1.341968948E1
1.424973375E0,1.070858139E1,-8.083789673E0,-2.581082611E0,1.366321186E1
1.435031375E0,1.013392639E1,-7.664511566E0,-2.571801910E0,1.296361704E1
