"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.399360417E-1,-7.879614258E-1,6.644682312E-1,9.346414032E0,9.403076970E0
6.499210417E-1,-1.164877625E0,8.837622070E-1,9.098978577E0,9.215714115E0
6.599060417E-1,-1.318458252E0,8.705895996E-1,9.191186829E0,9.325994517E0
6.698900417E-1,-1.265468445E0,7.903564453E-1,9.527836761E0,9.643948727E0
6.798750417E-1,-1.314266968E0,7.309300232E-1,9.514963531E0,9.633072582E0
6.898600417E-1,-1.250499573E0,7.899073792E-1,9.551936646E0,9.665774492E0
6.998450417E-1,-9.517208862E-1,8.138575745E-1,9.487271118E0,9.569558509E0
7.098300417E-1,-7.210505676E-1,6.631210327E-1,9.418264618E0,9.469073441E0
7.198140417E-1,-6.096821594E-1,4.116439819E-1,9.555080109E0,9.583356353E0
7.297990417E-1,-5.846841431E-1,1.814227295E-1,9.691147156E0,9.710463581E0
7.397840417E-1,-6.849755859E-1,1.092727661E-2,9.837093658E0,9.860918953E0
7.497690417E-1,-6.563850403E-1,-7.095245361E-2,9.874515839E0,9.896561960E0
7.597540417E-1,-5.333409119E-1,-1.558259583E-1,9.860744476E0,9.876386783E0
7.697380417E-1,-4.435276794E-1,-1.459465027E-1,9.864337006E0,9.875381600E0
7.797230417E-1,-3.252735901E-1,1.103205872E-1,1.013497421E1,1.014079266E1
7.897080417E-1,-9.924362183E-2,6.592291260E-1,1.064840652E1,1.066925461E1
7.996930417E-1,2.368075562E-1,9.439370728E-1,1.084210373E1,1.088569283E1
8.096780417E-1,5.610333252E-1,7.271878052E-1,1.082039886E1,1.085930901E1
8.196620417E-1,8.554710388E-1,3.421884155E-1,1.098520615E1,1.102377783E1
8.296470417E-1,1.017434235E0,1.122665405E-2,1.113743958E1,1.118382129E1
8.396320417E-1,1.207389221E0,-1.652563477E-1,1.090003326E1,1.096794527E1
8.496170417E-1,1.313518524E0,-2.049238586E-1,1.034408936E1,1.042916628E1
8.596020417E-1,1.523681488E0,-2.014810181E-1,9.639205170E0,9.760966970E0
8.695860417E-1,1.933828583E0,-1.692979431E-1,8.893905029E0,9.103290694E0
8.795710417E-1,2.451901245E0,2.604583740E-2,8.399483185E0,8.750075192E0
8.895560417E-1,3.104843445E0,2.646496582E-1,8.016729126E0,8.601048665E0
8.995410417E-1,3.418890381E0,2.766247559E-1,7.811805267E0,8.531684138E0
9.095260417E-1,3.362008667E0,3.032693481E-1,7.872129822E0,8.565366455E0
9.195100417E-1,3.269800415E0,4.743635559E-1,8.229287109E0,8.867794645E0
9.294950417E-1,2.670446777E0,6.307882690E-1,8.913663940E0,9.326445447E0
9.394800417E-1,2.712808685E0,7.647596741E-1,9.200766907E0,9.622801047E0
9.494650417E-1,3.263663177E0,7.982899475E-1,9.617350616E0,1.018735476E1
9.594500417E-1,4.126918030E0,8.192463684E-1,1.079839462E1,1.158913040E1
9.694350417E-1,5.143154755E0,8.342152405E-1,1.163934586E1,1.275234597E1
9.794190417E-1,6.103108521E0,7.435038757E-1,1.198362991E1,1.346878308E1
9.894040417E-1,6.978338470E0,6.306385803E-1,1.210742249E1,1.398873090E1
9.993890417E-1,7.268734589E0,6.773414612E-1,1.142214752E1,1.355576438E1
1.009374042E0,7.131170654E0,7.432044983E-1,1.025218048E1,1.251052167E1
1.019359042E0,6.689888306E0,7.494914246E-1,9.325607300E0,1.150144749E1
1.029343042E0,5.969885559E0,7.923023987E-1,8.169710999E0,1.014945587E1
1.039328042E0,5.437742157E0,1.020128632E0,6.821614380E0,8.783172829E0
1.049313042E0,5.279221802E0,1.284927979E0,5.417983246E0,7.673054489E0
1.059298042E0,5.283562775E0,1.384470978E0,4.190835114E0,6.884467621E0
1.069283042E0,5.247038727E0,1.382225647E0,3.586691437E0,6.504330757E0
1.079267042E0,4.738546143E0,1.427132263E0,3.690725098E0,6.173489920E0
1.089252042E0,4.421954498E0,1.708996124E0,4.607568512E0,6.610902883E0
1.099237042E0,4.105512543E0,2.110161896E0,5.176685028E0,6.935854983E0
1.109222042E0,3.584745483E0,2.533331909E0,5.189558258E0,6.797035064E0
