"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.597938750E-1,-8.262817383E-2,2.691702576E0,9.185348969E0,9.571976068E0
6.698608750E-1,-2.103126526E-1,2.965183868E0,9.045390015E0,9.521324871E0
6.799268750E-1,-1.567240906E-1,3.329226837E0,9.084458771E0,9.676554394E0
6.899938750E-1,-3.537144470E-1,3.441044312E0,8.956175537E0,9.600988497E0
7.000598750E-1,-6.819818115E-1,3.283571777E0,8.913065186E0,9.523112611E0
7.101268750E-1,-8.884025574E-1,3.063978424E0,8.924142151E0,9.477211405E0
7.201928750E-1,-1.028960266E0,2.915337524E0,9.015152893E0,9.530526418E0
7.302588750E-1,-9.687854004E-1,2.743794250E0,9.157806244E0,9.608973267E0
7.403258750E-1,-7.506889343E-1,2.636018372E0,9.235045624E0,9.633181946E0
7.503918750E-1,-5.126838684E-1,2.646945648E0,9.341324615E0,9.722628841E0
7.604588750E-1,-2.814147949E-1,2.797382812E0,9.413474579E0,9.824359955E0
7.705248750E-1,-1.326242065E-1,3.000061340E0,9.333540802E0,9.804740748E0
7.805918750E-1,-1.981878662E-1,3.163072357E0,9.172475739E0,9.704566778E0
7.906578750E-1,-4.604425049E-1,2.891537018E0,8.986262970E0,9.451238850E0
8.007238750E-1,-6.267466736E-1,2.902763672E0,8.831784210E0,9.317685370E0
8.107908750E-1,-7.038363647E-1,3.201841736E0,8.744964752E0,9.339249683E0
8.208568750E-1,-6.559359741E-1,3.311264191E0,8.483009491E0,9.129960162E0
8.309238750E-1,-5.025050354E-1,3.401825867E0,7.902516632E0,8.618277070E0
8.409898750E-1,-4.165837097E-1,3.611539764E0,7.256160736E0,8.115949118E0
8.510568750E-1,-2.835104370E-1,3.870950317E0,6.836433563E0,7.861390360E0
8.611228750E-1,-1.428030396E-1,4.020339661E0,6.781348114E0,7.884808554E0
8.711888750E-1,9.056167603E-2,4.142785034E0,7.191046143E0,8.299518895E0
8.812558750E-1,1.324745178E-1,4.259691925E0,7.674241333E0,8.778183459E0
8.913218750E-1,-5.957611084E-2,4.238735504E0,7.880512390E0,8.948346413E0
9.013888750E-1,-1.134640503E-1,4.161196747E0,7.741451569E0,8.789681726E0
9.114548750E-1,-1.070274353E-1,3.997586975E0,7.437583466E0,8.444513266E0
9.215218750E-1,-1.784289551E-1,3.892056427E0,7.226073303E0,8.209511283E0
9.315878750E-1,-3.306623840E-1,3.795806580E0,7.119794312E0,8.075206266E0
9.416538750E-1,-3.141966248E-1,3.641477509E0,6.922504578E0,7.828163743E0
9.517208750E-1,8.382568359E-3,3.492686920E0,6.710994415E0,7.565472770E0
9.617868750E-1,1.454974365E-1,3.480262756E0,6.488706665E0,7.364557865E0
9.718538750E-1,-1.157093811E-1,3.868255920E0,6.196963348E0,7.306103426E0
9.819198750E-1,-5.197192383E-1,4.427043915E0,6.255042572E0,7.680780135E0
9.919858750E-1,-1.180744629E0,4.817432098E0,6.843319244E0,8.451794376E0
1.002052875E0,-1.493743744E0,4.819677429E0,8.153843994E0,9.588833755E0
1.012118875E0,-9.382489014E-1,4.493206329E0,1.013721954E1,1.112800226E1
1.022185875E0,5.216651917E-1,4.138144684E0,1.086740112E1,1.164030855E1
1.032251875E0,1.547182617E0,3.725153503E0,1.034004776E1,1.109896979E1
1.042318875E0,1.751956787E0,3.833079071E0,1.012000534E1,1.096249770E1
1.052384875E0,1.307980042E0,4.214036865E0,9.482032013E0,1.045838657E1
1.062450875E0,3.375480652E-1,4.739444275E0,9.332942047E0,1.047282569E1
1.072517875E0,-6.292913818E-1,5.203329620E0,9.664951630E0,1.099463218E1
1.082583875E0,-1.033301239E0,5.268743591E0,9.995464325E0,1.134621865E1
1.092650875E0,-9.714797974E-1,4.996459808E0,1.020862106E1,1.140720508E1
1.102716875E0,-6.215075684E-1,4.756658478E0,1.023496628E1,1.130338915E1
1.112783875E0,-6.990463257E-2,4.596042480E0,9.987680511E0,1.099464666E1
1.122849875E0,4.290078735E-1,4.575385437E0,9.744436340E0,1.077368272E1
1.132915875E0,7.053332520E-1,4.563110962E0,9.485474854E0,1.054958340E1
1.142982875E0,7.484436035E-1,4.467310181E0,9.234446869E0,1.028552561E1
1.153048875E0,4.782554626E-1,4.284839630E0,9.090296631E0,1.006091804E1
1.163115875E0,3.921844482E-2,4.233047333E0,8.796307983E0,9.761929212E0
1.173181875E0,-6.496490479E-2,4.230802002E0,8.279133453E0,9.297739336E0
1.183248875E0,8.382568359E-3,4.202510834E0,7.689808960E0,8.763237382E0
1.193314875E0,6.137237549E-2,4.258195038E0,6.849157104E0,8.065168603E0
1.203380875E0,1.793270874E-1,4.243525543E0,5.866600342E0,7.242697482E0
1.213447875E0,5.306465149E-1,4.092789001E0,5.045857086E0,6.518679411E0
1.223513875E0,7.092251587E-1,3.974983978E0,4.546046448E0,6.080299027E0
1.233580875E0,8.303233337E-1,3.589086456E0,4.092639313E0,5.506421249E0
1.243646875E0,9.470805359E-1,3.008294220E0,3.669918365E0,4.838914802E0
1.253713875E0,1.064436493E0,2.465822296E0,3.331621857E0,4.279370145E0
1.263779875E0,9.267228699E-1,2.128124542E0,2.891087952E0,3.707575878E0
1.273845875E0,4.294569397E-1,1.894610138E0,2.550097046E0,3.205772260E0
1.283912875E0,-0.000000000E0,1.721420288E0,2.574047241E0,3.096612182E0
1.293978875E0,-1.985022125E0,2.127226410E0,2.047741699E0,3.557899816E0
1.304045875E0,-6.362968140E0,2.799029388E0,1.578168182E0,7.128291792E0
1.314111875E0,-3.640729065E0,1.521585846E0,2.813698883E0,4.846342231E0
1.324178875E0,-9.006770325E-1,1.010398865E-1,2.042053528E0,2.234146545E0
1.334244875E0,1.089584198E0,-1.133592682E0,2.444865875E0,2.906818749E0
1.344310875E0,1.619033203E0,-1.444645844E0,3.675606537E0,4.268296328E0
1.354377875E0,2.474504242E0,-1.222208405E0,4.703968048E0,5.453831683E0
1.364443875E0,3.867657166E0,-9.509724426E-1,5.863756256E0,7.088494760E0
