"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.189124996E-3,-6.357279968E0,1.742825775E0,5.905669098E0,8.850388566E0
1.125612500E-2,-6.117628326E0,2.019749908E0,6.225404205E0,8.958818201E0
2.132212499E-2,-5.842201080E0,2.402953033E0,6.958729248E0,9.398372704E0
3.138812500E-2,-5.499264221E0,2.776426392E0,7.697143707E0,9.858827097E0
4.145412500E-2,-4.990621948E0,2.993325348E0,8.354426880E0,1.018149068E1
5.152012499E-2,-4.592899017E0,3.046165466E0,8.876840515E0,1.044854741E1
6.158712500E-2,-4.448449402E0,3.058140564E0,9.172475739E0,1.064308400E1
7.165312500E-2,-4.402345276E0,3.103196869E0,9.317224731E0,1.076202358E1
8.171912500E-2,-4.390220490E0,3.184777222E0,9.329349518E0,1.079136712E1
9.178512500E-2,-4.496050415E0,3.195405121E0,9.125623169E0,1.066311781E1
1.018511250E-1,-4.631219330E0,3.094963989E0,8.833580475E0,1.044313835E1
1.119171250E-1,-4.787793732E0,2.995420990E0,8.575517120E0,1.026815512E1
1.219841250E-1,-4.924459534E0,2.954705658E0,8.473429413E0,1.023619037E1
1.320501250E-1,-4.944667511E0,2.961591339E0,8.539142761E0,1.030231620E1
1.421161250E-1,-4.772974548E0,3.039579163E0,8.626111908E0,1.031649815E1
1.521821250E-1,-4.528383179E0,3.172502747E0,8.617879028E0,1.023908525E1
1.622481250E-1,-4.224215698E0,3.334765320E0,8.567284241E0,1.011746101E1
1.723141250E-1,-3.952830048E0,3.476370850E0,8.502768402E0,1.000035450E1
1.823811250E-1,-3.755240936E0,3.463647308E0,8.453371124E0,9.877153969E0
1.924471250E-1,-3.644321594E0,3.345243530E0,8.513695679E0,9.846560225E0
2.025131250E-1,-3.685785370E0,3.174448700E0,8.548573151E0,9.835661709E0
2.125791250E-1,-3.837569733E0,3.050356750E0,8.496182098E0,9.809012591E0
2.226451250E-1,-3.929478607E0,2.974464569E0,8.413703613E0,9.750828175E0
2.327121250E-1,-3.963308258E0,2.802621918E0,8.415200500E0,9.714839238E0
2.427781250E-1,-3.823648682E0,2.662363586E0,8.467591553E0,9.664811214E0
2.528441250E-1,-3.530109100E0,2.501747589E0,8.491092682E0,9.529903787E0
2.629101250E-1,-3.222349091E0,2.390379181E0,8.245154114E0,9.169515399E0
2.729761250E-1,-3.044668579E0,2.459834747E0,8.070317688E0,8.969438183E0
2.830421250E-1,-2.748434601E0,2.580334167E0,7.995922394E0,8.840067426E0
2.931091250E-1,-2.328408051E0,2.648143158E0,7.966433716E0,8.711958011E0
3.031751250E-1,-1.902244263E0,2.659818878E0,7.940238190E0,8.587231929E0
3.132411250E-1,-1.856589203E0,2.579735413E0,7.659871216E0,8.293104685E0
3.233071250E-1,-2.095642090E0,2.473157043E0,7.233707428E0,7.926836991E0
3.333731250E-1,-2.191592560E0,2.395468597E0,6.869514771E0,7.598130094E0
3.434401250E-1,-2.118843842E0,2.287543030E0,6.723568268E0,7.411391407E0
3.535061250E-1,-1.845362549E0,2.195334778E0,6.631659393E0,7.225217231E0
3.635721250E-1,-1.530417480E0,2.132166138E0,6.647975464E0,7.147299341E0
3.736381250E-1,-1.292711792E0,1.977537689E0,6.813381500E0,7.211374804E0
3.837041250E-1,-1.089434509E0,1.775757294E0,7.125931549E0,7.424222650E0
3.937701250E-1,-9.050180054E-1,1.694326630E0,7.937843170E0,8.166955033E0
4.038371250E-1,-5.388793945E-1,1.664987640E0,8.498277740E0,8.676594920E0
4.139031250E-1,-1.064286804E-1,1.613794098E0,8.435707855E0,8.589343716E0
4.239691250E-1,9.909393311E-2,1.569635925E0,8.210875397E0,8.360146609E0
4.340351250E-1,8.577163696E-1,1.566342773E0,7.743846588E0,7.947091734E0
4.441011250E-1,7.878117371E-1,1.385219421E0,6.819518738E0,7.003236109E0
4.541681250E-1,1.181044006E-1,1.296603699E0,6.262227631E0,6.396141391E0
4.642340833E-1,2.362088013E-1,1.103355560E0,5.898933105E0,6.005880441E0
4.743000833E-1,4.352947998E-1,7.664062500E-1,6.183042297E0,6.245548187E0
4.843660833E-1,5.569917297E-1,5.062472534E-1,6.747069397E0,6.788922707E0
4.944320833E-1,1.032253418E0,3.162922668E-1,7.155719604E0,7.236705810E0
5.044980833E-1,1.671723633E0,1.739382935E-1,7.532486115E0,7.717723855E0
5.145650833E-1,2.330803070E0,2.574645996E-2,7.349566498E0,7.710345877E0
5.246310833E-1,2.488275604E0,-2.079176331E-1,6.901847534E0,7.339635182E0
