"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.517617083E-1,1.154848480E1,3.966751099E-1,7.546706543E0,1.380136341E1
6.618287083E-1,1.183214493E1,4.689747620E-1,7.461833038E0,1.399637607E1
6.718957083E-1,1.242042160E1,6.643185425E-1,7.734865265E0,1.464705884E1
6.819627083E-1,1.309671524E1,1.013841705E0,8.037386169E0,1.539972083E1
6.920297083E-1,1.374546616E1,1.414857788E0,8.186925201E0,1.606130152E1
7.020967083E-1,1.478729965E1,2.183659058E0,8.461903381E0,1.717662385E1
7.121637083E-1,1.567225937E1,2.920726318E0,8.407117310E0,1.802304018E1
7.222297083E-1,1.606264755E1,3.363804932E0,8.218359833E0,1.835388973E1
7.322967083E-1,1.595966171E1,3.394042053E0,8.099956055E0,1.821646540E1
7.423637083E-1,1.566163147E1,3.109184418E0,8.070617065E0,1.789101975E1
7.524307083E-1,1.533022064E1,2.928659821E0,7.955057373E0,1.751786662E1
7.624977083E-1,1.504386612E1,2.945874023E0,7.555987244E0,1.709061218E1
7.725647083E-1,1.484552856E1,3.088677063E0,7.116501160E0,1.675035024E1
7.826317083E-1,1.481574051E1,3.308120728E0,6.690936127E0,1.658970934E1
7.926977083E-1,1.503713013E1,3.489244080E0,6.393504639E0,1.670829160E1
8.027647083E-1,1.510868134E1,3.532055054E0,6.354585571E0,1.676688470E1
8.128317083E-1,1.474823090E1,3.443738708E0,6.413562927E0,1.644698879E1
8.228987083E-1,1.412552582E1,3.315455475E0,6.560706940E0,1.592374328E1
8.329657083E-1,1.327065353E1,3.078947296E0,6.500532074E0,1.509460430E1
8.430327083E-1,1.227836700E1,2.760858765E0,6.314169617E0,1.408010566E1
8.530997083E-1,1.150612289E1,2.684816895E0,6.111640778E0,1.330230276E1
8.631657083E-1,1.073417816E1,2.775977325E0,5.098397827E0,1.220337213E1
8.732327083E-1,1.015188904E1,2.837948456E0,4.146826630E0,1.132744338E1
8.832997083E-1,9.442663879E0,3.076402588E0,3.353027344E0,1.048193429E1
8.933667083E-1,7.980654144E0,3.235072632E0,1.915416870E0,8.821868129E0
9.034337083E-1,7.735014954E0,2.413431244E0,6.740483093E-1,8.130771662E0
9.135007083E-1,8.622369690E0,2.058968353E0,2.866838379E0,9.316832726E0
9.235677083E-1,7.709418182E0,1.445094910E0,4.324656830E0,8.956901512E0
9.336337083E-1,6.885232086E0,9.865983582E-1,4.436773682E0,8.250136841E0
9.437007083E-1,6.314618683E0,8.408015442E-1,7.131769409E0,9.562609019E0
9.537677083E-1,4.687053223E0,2.029779053E-1,6.739884338E0,8.211924795E0
9.638347083E-1,3.081641693E0,-1.196012878E-1,2.191891937E0,3.783544668E0
9.739017083E-1,2.579436035E0,2.290237427E-1,-1.029259644E0,2.786631936E0
9.839687083E-1,4.557871857E0,6.864724731E-1,-4.739144897E-1,4.633576940E0
9.940357083E-1,7.598199463E0,1.895957336E0,2.806813202E0,8.318983691E0
1.004101708E0,9.126521301E0,3.344046021E0,6.430926819E0,1.165473529E1
1.014168708E0,6.746171265E0,3.373385010E0,7.473957825E0,1.061840848E1
1.024235708E0,3.002905426E0,1.347048798E0,4.341871033E0,5.448286476E0
1.034302708E0,2.252366180E0,-4.569996643E-1,-6.313870239E-1,2.383411773E0
1.044369708E0,3.601660309E0,4.270619202E-1,-1.787433014E0,4.043421279E0
1.054436708E0,4.485572205E0,1.420545959E0,-8.951385498E-1,4.789528353E0
1.064503708E0,6.201603699E0,1.216071167E0,1.424288177E0,6.478218454E0
1.074569708E0,7.031477966E0,5.360353088E-1,1.798659668E0,7.277650228E0
1.084636708E0,6.988966370E0,8.214916992E-1,1.347048798E0,7.164847520E0
1.094703708E0,6.778653717E0,9.442364502E-1,1.325044556E0,6.971188691E0
1.104770708E0,6.869365082E0,7.039860535E-1,8.984317017E-1,6.963544537E0
1.114837708E0,7.111262054E0,1.387614441E0,1.166075134E0,7.338613838E0
1.124904708E0,6.572831726E0,1.415306854E0,1.381926270E0,6.864031658E0
1.134971708E0,6.789880371E0,7.586224365E-1,2.026635590E0,7.126376026E0
1.145037708E0,6.766977997E0,3.375480652E-1,2.669099579E0,7.282171549E0
1.155104708E0,7.340136108E0,-1.502874756E-1,3.386407928E0,8.085044408E0
1.165171708E0,8.446335754E0,-4.589456177E-1,3.596720581E0,9.191714622E0
1.175238708E0,9.100924530E0,-2.649490356E-2,3.602857819E0,9.788161918E0
1.185305708E0,9.727970581E0,3.363505554E-1,3.844605103E0,1.046554020E1
1.195372708E0,9.992171173E0,3.278182983E-1,2.893033905E0,1.040771804E1
1.205439708E0,9.689051514E0,1.058299255E-1,1.688638458E0,9.835670747E0
1.215506708E0,1.026714935E1,-6.697073364E-1,4.888833618E-1,1.030057623E1
1.225572708E0,1.053239777E1,-1.294358368E0,1.429527283E-1,1.061259637E1
1.235639708E0,9.707313538E0,-1.708097992E0,5.957611084E-2,9.856626410E0
1.245706708E0,7.940387878E0,-2.458936615E0,2.122586060E-1,8.315117717E0
1.255773708E0,7.670648804E0,-2.974614258E0,2.062261505E0,8.481751327E0
1.265840708E0,1.194994995E1,-4.459077301E0,2.784808960E0,1.305526082E1
1.275907708E0,1.606100098E1,-4.366270294E0,3.429368591E0,1.699354694E1
1.285974708E0,1.716495529E1,-2.194736023E0,1.203197937E0,1.734647635E1
1.296040708E0,1.523726395E1,-2.499352570E0,-1.496887207E0,1.551327326E1
1.306107708E0,1.358215576E1,-4.332889709E0,-3.788322144E0,1.475128039E1
1.316174708E0,1.132335297E1,-4.482428741E0,-5.200784912E0,1.324230545E1
1.326241542E0,9.942923584E0,-5.529351654E0,-4.009562073E0,1.206283744E1
1.336308542E0,1.011970596E1,-7.192393341E0,-3.113525391E-2,1.241531072E1
1.346375542E0,8.146060181E0,-8.509205017E0,3.851490784E-1,1.178614468E1
1.356442542E0,4.944218445E-1,-1.048315018E1,7.694000244E-1,1.052296854E1
1.366508542E0,-2.806663513E0,-1.026759842E1,4.951553192E0,1.173962590E1
1.376575542E0,1.223480759E1,-9.697733459E0,1.850901031E0,1.572139897E1
1.386642542E0,1.827429840E1,-5.045857086E0,1.670376434E0,1.903157411E1
1.396709542E0,1.640573410E1,-5.162763977E-1,1.641636200E0,1.649574558E1
1.406776542E0,1.107322311E1,-4.178410950E0,-9.156459045E-1,1.187071167E1
1.416843542E0,4.931045837E0,-8.917256470E0,1.872605896E-1,1.019155251E1
1.426910542E0,1.641785889E0,-1.012674133E1,1.426234131E0,1.035762978E1
1.436977542E0,3.293301544E0,-8.272996216E0,1.954335938E0,9.116344136E0
1.447043542E0,5.584886169E0,-5.067711639E0,5.828878784E-1,7.563888753E0
1.457110542E0,7.231013031E0,-4.136348419E0,5.658233643E-1,8.349675669E0
1.467177542E0,9.603878632E0,-4.626429291E0,6.671626282E-1,1.068098491E1
1.477244542E0,9.755812683E0,-5.227429504E0,8.168513489E-1,1.109815960E1
1.487311542E0,8.861123199E0,-5.226980438E0,-3.911366272E-1,1.029532985E1
1.497378542E0,9.357640686E0,-5.091212769E0,-9.645941162E-1,1.069655685E1
1.507445542E0,8.699609070E0,-6.755451965E0,-2.754122772E0,1.135361271E1
1.517511542E0,6.897057495E0,-8.357420654E0,-4.464017029E0,1.171935707E1
1.527578542E0,7.722141724E0,-7.136858826E0,-4.165837097E0,1.131019122E1
1.537645542E0,9.166787567E0,-1.634900208E0,-3.535048828E0,9.959892731E0
1.547712542E0,9.699529724E0,7.322772217E-1,3.647465057E0,1.038850847E1
1.557779542E0,6.762487335E0,-4.212090912E0,1.927841034E0,8.196921121E0
1.567846542E0,2.217189331E0,-6.264622650E0,6.706054688E-2,6.645744698E0
1.577913542E0,1.207987976E-1,-3.849395142E0,9.198371887E-1,3.959613082E0
1.587980542E0,-2.521356812E0,-4.907095642E0,-6.285429382E-1,5.552647480E0
1.598046542E0,-3.643573151E0,-6.594985657E0,-1.943857727E0,7.781262364E0
1.608113542E0,-2.769091644E0,-6.592291260E0,-2.826871490E0,7.688782414E0
1.618180542E0,-9.897418213E-1,-4.675078125E0,-3.560346222E0,5.959195379E0
1.628247542E0,3.832031250E-2,-4.434528351E0,-4.174369354E0,6.090309487E0
1.638314542E0,2.790197754E-1,-4.049978027E0,-3.929328918E0,5.649761040E0
1.648381542E0,1.948947144E-1,-3.157833252E0,-3.087180176E0,4.420472399E0
1.658448542E0,2.725831604E-1,-3.454216919E0,-2.397115173E0,4.213321404E0
1.668514542E0,-2.624043274E-1,-3.345991974E0,-3.713627472E0,5.005551650E0
1.678581542E0,-8.340655518E-1,-3.881727905E0,-3.664379883E0,5.402884119E0
1.688648542E0,-8.833131409E-1,-4.148024139E0,-1.862277374E0,4.631891988E0
1.698715542E0,-1.622176666E0,-4.380490723E0,-1.499731293E0,4.906052390E0
1.708782542E0,-4.597539368E0,-9.448801117E0,-1.383123779E0,1.059859624E1
1.718849542E0,-2.255958710E0,-2.433489532E1,2.189945984E-1,2.444022174E1
1.728916542E0,-1.808539124E0,-4.829616760E1,2.113604736E0,4.837621258E1
1.738983542E0,2.834056549E0,-5.305896332E1,-1.057101746E0,5.314511200E1
1.749049542E0,8.042625275E0,-2.759361877E1,-6.349945221E0,2.943490144E1
1.759116542E0,4.969815216E0,-1.245799347E1,-5.005590820E0,1.431630553E1
1.769183542E0,1.087638245E0,-5.876030731E0,-2.157912598E0,6.353525075E0
1.779250542E0,4.519102478E-1,-2.830763397E0,-8.340655518E-1,2.985483148E0
1.789317542E0,1.089135132E0,-1.823058929E0,-3.372486877E-1,2.150231586E0
1.799384542E0,1.206940155E0,-2.355202332E0,-7.295828247E-1,2.745172792E0
1.809451542E0,7.643106079E-1,-3.907025299E0,-1.652862854E0,4.310565277E0
1.819517542E0,4.474195862E-1,-5.494773560E0,-2.528691559E0,6.065228912E0
1.829584542E0,3.109034729E-1,-6.217021637E0,-3.771706696E0,7.278309584E0
1.839651542E0,5.809419250E-1,-5.873486023E0,-4.626578979E0,7.499370949E0
1.849718542E0,6.993457031E-1,-5.935157776E0,-5.008584595E0,7.797506132E0
1.859785542E0,3.480262756E-1,-6.912325745E0,-4.955594788E0,8.512302226E0
1.869852542E0,-2.773731995E-1,-7.919431458E0,-4.697531433E0,9.212010208E0
1.879919542E0,-6.632707214E-1,-8.343349915E0,-4.699627075E0,9.598849436E0
1.889986542E0,-3.418890381E-1,-8.463849335E0,-5.145250397E0,9.910965408E0
1.900052542E0,8.966354370E-2,-8.772657166E0,-6.026168518E0,1.064341394E1
1.910119542E0,2.152523804E-1,-8.966803436E0,-6.823111267E0,1.126963818E1
1.920186542E0,1.649569702E-1,-9.144483948E0,-7.284601593E0,1.169248553E1
1.930253542E0,2.155517578E-1,-9.365125122E0,-7.642357635E0,1.208956829E1
1.940320542E0,7.394622803E-1,-1.026759842E1,-7.608228607E0,1.280060640E1
1.950387542E0,1.328487396E0,-1.134430939E1,-7.552544403E0,1.369303331E1
1.960454542E0,1.650018768E0,-1.152902527E1,-8.192164307E0,1.423912011E1
1.970521542E0,1.826501770E0,-1.108744354E1,-9.066795502E0,1.443863891E1
1.980587542E0,1.779798889E0,-1.049422714E1,-9.494905243E0,1.426357995E1
1.990654542E0,1.439706116E0,-9.729467468E0,-9.061556396E0,1.337337262E1
2.000721542E0,9.241781616E-1,-9.164691925E0,-8.068970490E0,1.224556933E1
2.010788542E0,6.301895142E-1,-9.233848114E0,-6.743776245E0,1.145162032E1
2.020855542E0,3.957769775E-1,-1.022867935E1,-5.646258545E0,1.169028470E1
2.030922542E0,6.779402161E-1,-1.073462723E1,-4.364474030E0,1.160777577E1
2.040989542E0,9.936337280E-1,-1.112262039E1,-3.652704163E0,1.174913784E1
2.051055542E0,1.098116455E0,-1.151330795E1,-3.405568085E0,1.205653407E1
2.061122542E0,7.702981567E-1,-1.208960953E1,-2.809956665E0,1.243574985E1
2.071189542E0,4.147874451E-1,-1.305106018E1,-2.237097931E0,1.324789899E1
2.081256542E0,-5.897735596E-2,-1.384905075E1,-1.626966705E0,1.394441486E1
2.091323542E0,-6.236032104E-1,-1.362032639E1,-9.610015869E-1,1.366841965E1
2.101390542E0,-1.360820160E0,-1.246697479E1,-1.013242950E0,1.258188989E1
2.111457542E0,-1.955084381E0,-1.104463257E1,-1.765578461E0,1.135444982E1
2.121524542E0,-2.870281219E0,-9.477092285E0,-2.695744171E0,1.026259368E1
2.131590542E0,-3.086880798E0,-7.852670288E0,-2.838397522E0,8.902233664E0
2.141657542E0,-2.636766815E0,-6.987020416E0,-1.771116943E0,7.675144869E0
2.151724542E0,-2.247127075E0,-6.893614655E0,-3.499722290E-1,7.259062175E0
2.161791542E0,-1.623224487E0,-7.215595093E0,8.243357849E-1,7.441720215E0
2.171858542E0,-8.008346558E-1,-7.755971375E0,1.101858673E0,7.874675907E0
2.181925542E0,9.610015869E-2,-8.531808014E0,1.042282562E0,8.595774320E0
2.191992542E0,1.223705292E0,-9.583520966E0,8.286767578E-1,9.696805345E0
2.202059542E0,2.310744781E0,-1.059167450E1,6.068380737E-1,1.085777890E1
2.212125542E0,3.001857605E0,-1.134176468E1,6.261479187E-1,1.174899299E1
2.222192542E0,3.369044037E0,-1.144145737E1,8.210426331E-1,1.195539692E1
2.232259542E0,3.529360657E0,-1.095122681E1,9.458830261E-1,1.154471524E1
2.242326542E0,3.294049988E0,-9.939780121E0,1.024170227E0,1.052135537E1
2.252393542E0,3.078647919E0,-8.967402191E0,6.551875305E-1,9.503770082E0
2.262460542E0,3.007545776E0,-8.644224243E0,1.092727661E-1,9.153135250E0
2.272527542E0,2.997217255E0,-8.270002441E0,-2.655477905E-1,8.800384496E0
2.282594542E0,3.021616516E0,-7.711214447E0,-3.493734741E-1,8.289454532E0
2.292660542E0,3.252735901E0,-7.748187561E0,-1.285826111E-1,8.404239098E0
2.302727542E0,3.232827301E0,-7.718698883E0,5.595364380E-1,8.387047504E0
2.312794542E0,2.761008453E0,-8.301736450E0,1.510808258E0,8.878318386E0
2.322861542E0,2.325713654E0,-8.889264679E0,2.139500885E0,9.434269159E0
2.332928792E0,1.957479401E0,-9.000333710E0,2.277962952E0,9.488247873E0
2.342995792E0,1.942809906E0,-9.007369080E0,2.093097382E0,9.449246780E0
2.353062792E0,2.088307343E0,-8.924890594E0,1.594933319E0,9.303682710E0
2.363129792E0,2.178719330E0,-8.790170746E0,1.007554779E0,9.112029757E0
2.373195792E0,2.204615479E0,-8.763376465E0,4.748126221E-1,9.048897364E0
2.383262792E0,2.054627380E0,-9.025182037E0,7.559280396E-2,9.256409604E0
2.393329792E0,1.799557800E0,-9.322613525E0,-2.233355713E-1,9.497336995E0
2.403396792E0,1.481020203E0,-9.322164459E0,-6.762936401E-1,9.463273436E0
2.413463792E0,1.190624084E0,-9.104367371E0,-1.517843628E0,9.306499890E0
2.423530792E0,9.782157898E-1,-9.039103088E0,-2.811154175E0,9.516558126E0
2.433597792E0,7.940986633E-1,-9.030570831E0,-4.340972900E0,1.005116152E1
2.443663792E0,8.003855896E-1,-9.145382080E0,-5.009482727E0,1.045818090E1
2.453730792E0,1.167422333E0,-9.349258118E0,-4.535717926E0,1.045677959E1
2.463797792E0,1.619631958E0,-9.369615784E0,-3.722608795E0,1.021130373E1
2.473864792E0,1.953437805E0,-9.184001770E0,-2.927162933E0,9.835145683E0
2.483931792E0,2.072739716E0,-9.014554138E0,-2.107766876E0,9.486891875E0
2.493998792E0,2.082469482E0,-8.806636505E0,-1.257534943E0,9.136461011E0
2.504065792E0,2.142794037E0,-8.474028168E0,-3.993695068E-1,8.749869466E0
2.514132792E0,2.321372681E0,-8.153394928E0,9.684860229E-2,8.477971433E0
2.524198792E0,2.418071594E0,-7.930957489E0,3.670367432E-1,8.299510401E0
2.534265792E0,2.617307281E0,-7.911348267E0,4.930746460E-1,8.347625495E0
2.544332792E0,2.895279236E0,-8.231532440E0,6.080355835E-1,8.747026663E0
2.554399792E0,3.170856171E0,-8.777297516E0,7.616162109E-1,9.363511082E0
2.564466792E0,3.241509247E0,-9.280401306E0,8.476872253E-1,9.866701791E0
2.574533792E0,3.017125854E0,-9.588610382E0,7.321275330E-1,1.007871560E1
2.584600792E0,2.698588257E0,-9.791438599E0,3.135978699E-1,1.016134794E1
2.594667792E0,2.380948792E0,-9.739945679E0,-5.273533630E-1,1.004059563E1
2.604733792E0,2.098336487E0,-9.579629059E0,-1.739233246E0,9.959781182E0
2.614800792E0,2.058369598E0,-9.431586914E0,-3.050656128E0,1.012414045E1
2.624867792E0,2.426005096E0,-9.265282745E0,-4.019740906E0,1.038697656E1
2.634934792E0,3.110381927E0,-9.284293213E0,-4.045337677E0,1.059421225E1
2.645001792E0,3.636088715E0,-9.559421082E0,-3.058889008E0,1.067522714E1
2.655068792E0,4.023782501E0,-1.013706985E1,-1.488953705E0,1.100763344E1
2.665135792E0,4.455035706E0,-1.071322174E1,-9.026229858E-2,1.160295697E1
2.675202792E0,4.894222412E0,-1.113414642E1,9.024732971E-1,1.219578155E1
2.685268792E0,5.179828491E0,-1.130703690E1,1.524579620E0,1.253012568E1
2.695335792E0,5.010829926E0,-1.137873779E1,1.628313904E0,1.253935790E1
2.705402792E0,4.420008545E0,-1.165401535E1,1.073417816E0,1.251018685E1
2.715469792E0,3.657793579E0,-1.235695358E1,-2.243833923E-1,1.288891398E1
2.725536792E0,3.264112244E0,-1.317305649E1,-2.114502869E0,1.373517267E1
2.735603792E0,2.667153625E0,-1.354308701E1,-3.900139618E0,1.434363982E1
2.745670792E0,2.032623138E0,-1.331436264E1,-5.281916199E0,1.446728890E1
2.755737792E0,2.423310699E0,-1.279314651E1,-5.170996857E0,1.400986228E1
2.765804792E0,3.221301270E0,-1.268522095E1,-2.992427216E0,1.342558129E1
2.775870792E0,3.699407043E0,-1.256636810E1,-8.122109985E-1,1.312474405E1
2.785937792E0,4.021537170E0,-1.201192108E1,5.031037903E-1,1.267722851E1
2.796004792E0,3.983516235E0,-1.104523132E1,1.300196228E0,1.181338422E1
2.806071792E0,3.959416351E0,-9.992919617E0,1.537901917E0,1.085820255E1
2.816138792E0,4.086352386E0,-9.020541687E0,1.403331757E0,1.000188923E1
2.826205792E0,3.773652649E0,-8.162376251E0,1.333427124E0,9.090812300E0
2.836272792E0,2.843037872E0,-7.587721252E0,1.109043732E0,8.178407923E0
2.846338792E0,1.933379517E0,-7.522157593E0,7.460485840E-1,7.802397048E0
2.856405792E0,1.468446350E0,-7.984246674E0,7.497908020E-1,8.152712179E0
2.866472792E0,1.940414886E0,-9.007818146E0,1.068927155E0,9.276238620E0
2.876539792E0,3.021915894E0,-1.063942520E1,1.561702423E0,1.116997130E1
2.886606792E0,3.539539490E0,-1.253972351E1,1.636846161E0,1.313210839E1
2.896673792E0,3.425626373E0,-1.359233459E1,1.422042847E0,1.408931090E1
2.906740792E0,3.331472168E0,-1.343426331E1,8.192463684E-1,1.386539945E1
2.916807792E0,3.293151855E0,-1.285392014E1,-3.793112183E-1,1.327448639E1
2.926873792E0,3.119363251E0,-1.195578781E1,-1.251248016E0,1.241921539E1
2.936940792E0,2.482587433E0,-1.080782501E1,-1.096020813E0,1.114332013E1
2.947007792E0,2.097138977E0,-1.012269974E1,-7.132667542E-1,1.036222907E1
2.957074792E0,1.998045044E0,-9.518855438E0,-5.310955811E-1,9.740783098E0
2.967141792E0,1.896556091E0,-9.217681732E0,-9.234297180E-1,9.455966580E0
2.977208792E0,2.051633606E0,-9.360634460E0,-1.116079102E0,9.647606466E0
2.987275792E0,1.879940643E0,-9.335935822E0,-9.038204956E-1,9.566125965E0
2.997342792E0,1.573228455E0,-9.103319550E0,-5.755531311E-1,9.256172859E0
3.007409792E0,1.376687164E0,-8.761131134E0,-4.171824646E-1,8.878441727E0
3.017475792E0,1.140927429E0,-8.507109375E0,-1.315763855E-1,8.584284342E0
3.027542792E0,1.240470428E0,-8.137228546E0,1.363664246E-1,8.232366069E0
3.037609792E0,1.599873047E0,-7.809110870E0,4.396357727E-1,7.983425704E0
3.047676792E0,1.988764343E0,-7.582482147E0,7.559280396E-1,7.875318808E0
3.057743792E0,2.041754150E0,-7.651338959E0,1.245410156E-1,7.920054188E0
3.067810792E0,2.251767426E0,-7.888445892E0,-9.406439209E-1,8.257290483E0
3.077877792E0,2.689906311E0,-8.193361816E0,-2.087858276E0,8.872763155E0
3.087944792E0,2.830464020E0,-8.316405945E0,-2.471959534E0,9.126046151E0
3.098010792E0,3.235372009E0,-8.324339447E0,-2.078427887E0,9.169630404E0
3.108077792E0,3.338956604E0,-8.378227386E0,-1.582209778E0,9.156785087E0
3.118144792E0,2.698887634E0,-8.124205627E0,-1.370699615E0,8.669805590E0
3.128211792E0,1.809437256E0,-7.518714752E0,-1.143472137E0,7.817458873E0
